State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
CA,California,Y,160957.0,149920.0,14302.0,164222.0,11884268,33.7712,-111.3877,10573509,1310759,Feb,2019
OR,Oregon,Y,12177.0,23045.0,2826.0,25871.0,985423,40.3736,-82.7755,857163,128260,Feb,2019
AL,Alabama,N,18173.0,14284.0,2069.0,16353.0,919053,32.799,-86.8073,745164,173889,Feb,2019
UT,Utah,N,17043.0,35290.0,0.0,35290.0,287932,44.2853,-99.4632,244379,43553,Feb,2019
IL,Illinois,Y,61362.0,22839.0,7498.0,30337.0,2824308,44.2394,-114.5103,2569171,255137,Feb,2019
HI,Hawaii,Y,4600.0,5096.0,360.0,5456.0,331889,32.9866,-83.6487,306351,25538,Feb,2019
LA,Louisiana,Y,28824.0,19786.0,1385.0,21171.0,1593351,37.669000000000004,-84.6514,1458268,135083,Feb,2019
KY,Kentucky,Y,9239.0,34193.0,6732.0,40925.0,1216189,38.5111,-96.8005,1123120,93069,Feb,2019
PA,Pennsylvania,Y,83044.0,78044.0,9391.0,87435.0,2962054,35.5376,-96.9247,2781084,180970,Feb,2019
NM,New Mexico,Y,11068.0,15844.0,1451.0,17295.0,728697,43.4108,-71.5653,691140,37557,Feb,2019
VA,Virginia,Y,30071.0,23999.0,688.0,24687.0,1251260,35.7449,-86.7489,1108915,142345,Feb,2019
OK,Oklahoma,N,42977.0,40244.0,8769.0,49013.0,729622,42.1497,-74.9384,604453,125169,Feb,2019
TN,Tennessee,N,0.0,0.0,0.0,0.0,1431593,41.6772,-71.5101,1377356,54237,Feb,2019
IN,Indiana,Y,87809.0,34391.0,3156.0,37547.0,1464635,40.3363,-89.0022,1350840,113795,Feb,2019
GA,Georgia,N,39862.0,27493.0,1046.0,28539.0,1835052,27.8333,-81.717,1618389,216663,Feb,2019
MI,Michigan,Y,44693.0,43120.0,1687.0,44807.0,2356612,44.6074,-69.3977,2295266,61346,Feb,2019
ND,North Dakota,Y,1810.0,1791.0,45.0,1836.0,90765,46.9048,-110.3261,88622,2143,Feb,2019
NC,North Carolina,N,20480.0,30780.0,3808.0,34588.0,1754170,32.7673,-89.6812,1492301,261869,Feb,2019
CT,Connecticut,Y,15148.0,13403.0,321.0,13724.0,862725,39.0646,-105.3272,842741,19984,Feb,2019
IA,Iowa,Y,13883.0,1191.0,0.0,1191.0,693646,21.1098,-157.5311,620988,72658,Feb,2019
MA,Massachusetts,Y,18532.0,0.0,0.0,0.0,1561612,31.1801,-91.8749,1375444,186168,Feb,2019
AR,Arkansas,Y,19769.0,7758.0,303.0,8061.0,847996,34.9513,-92.3809,758722,89274,Feb,2019
OH,Ohio,Y,65426.0,53090.0,2901.0,55991.0,2649555,38.4199,-117.1219,2443878,205677,Feb,2019
MN,Minnesota,Y,25616.0,19333.0,43.0,19376.0,1053901,43.3504,-84.5603,1052631,1270,Feb,2019
NE,Nebraska,N,6159.0,4982.0,854.0,5836.0,247508,35.6411,-79.8431,212330,35178,Feb,2019
FL,Florida,N,251794.0,201395.0,21669.0,223064.0,3678155,39.3498,-75.5148,3444643,233512,Feb,2019
NV,Nevada,Y,17472.0,11326.0,82.0,11408.0,633325,40.314,-74.5089,591155,42170,Feb,2019
WV,West Virginia,Y,21036.0,11056.0,544.0,11600.0,520427,18.0001,-64.8199,486773,33654,Feb,2019
WI,Wisconsin,N,21945.0,16293.0,1074.0,17367.0,1033735,37.768,-78.2057,962566,71169,Feb,2019
DC,District of Columbia,Y,3097.0,3141.0,0.0,3141.0,257870,41.5834,-72.7622,241419,16451,Feb,2019
AZ,Arizona,Y,94300.0,0.0,0.0,0.0,1701411,14.2417,-170.7197,1596840,104571,Feb,2019
SC,South Carolina,N,30421.0,6524.0,265.0,6789.0,1050510,40.5773,-77.264,959314,91196,Feb,2019
